DONUT,Series number,F1 with adjust,F1 without adjust,,MSCRED,Series number,F1 with adjust,F1 without adjust
0,1月1日,0.94,0.17,,0,1月1日,0.86,0.54
1,1月2日,0.76,0.13,,1,1月2日,0.65,0.14
2,1月3日,0.21,0.08,,2,1月3日,0.74,0.23
3,1月4日,0.12,0.08,,3,1月4日,0.6,0.16
4,1月5日,0,0,,4,1月5日,0.32,0.07
5,1月6日,0.98,0.67,,5,1月6日,0.95,0.77
6,1月7日,0.97,0.03,,6,1月7日,0.92,0.16
7,1月8日,0.83,0.13,,7,1月8日,0.48,0.23
8,2月1日,0.87,0.14,,8,2月1日,0.81,0.1
9,2月2日,0,0,,9,2月2日,0.87,0.03
10,2月3日,0.86,0.11,,10,2月3日,0.82,0.18
11,2月4日,0.93,0.13,,11,2月4日,0.86,0.25
12,2月5日,0.84,0,,12,2月5日,0.85,0.25
13,2月6日,0.76,0.19,,13,2月6日,0.57,0.24
14,2月7日,0.89,0.21,,14,2月7日,0.73,0.17
15,2月8日,0.99,0.26,,15,2月8日,1,0.86
16,2月9日,0.87,0.11,,16,2月9日,0.55,0.16
17,3月1日,0.53,0.4,,17,3月1日,0.8,0.3
18,3月10日,0.86,0.63,,18,3月10日,0.88,0.61
19,3月11日,0.98,0.66,,19,3月11日,0.81,0.51
20,3月2日,0.86,0.09,,20,3月2日,0,0
21,3月3日,0.89,0.12,,21,3月3日,0.86,0.08
22,3月4日,0.94,0.1,,22,3月4日,0.87,0.2
23,3月5日,0.44,0,,23,3月5日,0.66,0.15
24,3月6日,0.86,0.13,,24,3月6日,0.4,0.08
25,3月7日,0.81,0.13,,25,3月7日,0.83,0.43
26,3月8日,0.88,0.09,,26,3月8日,0.84,0.18
27,3月9日,0.61,0.26,,27,3月9日,0.48,0.31
